F1 ,F2,F3,F4,F5,F6,F7,F8,F9,Class
560,44,1,15,63,32,32,2,122,Abnormal
631,44,1,15,63,32,32,2,122,Abnormal
531,10,1,15,69,0,0,0,122,Abnormal
517,10,1,15,55,0,0,0,122,Abnormal
624,109,3,49,62,53,87,12,122,Abnormal
695,109,3,49,62,53,87,12,122,Abnormal
566,51,3,21,62,29,35,6,122,Abnormal
637,51,3,21,62,29,35,6,122,Abnormal
569,54,3,20,62,32,37,7,122,Abnormal
640,54,3,20,62,32,37,7,122,Abnormal
538,10,1,15,76,0,0,0,122,Abnormal
834,316,13,83,65,184,252,54,122,Abnormal
906,316,13,83,65,184,252,54,122,Abnormal
782,264,13,59,65,171,215,39,122,Abnormal
854,264,13,59,65,171,215,39,122,Abnormal
771,253,13,55,65,167,207,36,122,Abnormal
843,253,13,55,65,167,207,36,122,Abnormal
609,93,1,43,63,44,72,11,122,Abnormal
680,93,1,43,63,44,72,11,122,Abnormal
544,28,1,16,63,15,16,2,122,Abnormal
615,28,1,16,63,15,16,2,122,Abnormal
551,10,1,15,89,0,0,0,122,Abnormal
538,10,1,15,76,0,0,0,122,Abnormal
807,290,13,75,64,180,240,40,122,Abnormal
879,290,13,75,64,180,240,40,122,Abnormal
759,242,13,53,64,159,197,35,122,Abnormal
831,242,13,53,64,159,197,35,122,Abnormal
761,244,13,54,64,160,199,35,122,Abnormal
833,244,13,54,64,160,199,35,122,Abnormal
537,10,1,15,75,0,0,0,122,Abnormal
517,10,1,15,55,0,0,0,122,Abnormal
525,10,1,15,63,0,0,0,122,Abnormal
523,10,1,15,61,0,0,0,122,Abnormal
528,10,1,15,66,0,0,0,122,Abnormal
669,153,5,63,63,73,121,22,122,Abnormal
741,153,5,63,63,73,121,22,122,Abnormal
598,82,5,23,63,48,56,16,122,Abnormal
669,82,5,23,63,48,56,16,122,Abnormal
596,76,5,22,67,47,54,12,122,Abnormal
667,76,5,22,67,47,54,12,122,Abnormal
590,70,5,20,67,46,51,9,122,Abnormal
661,70,5,20,67,46,51,9,122,Abnormal
544,19,1,20,72,2,7,2,122,Abnormal
614,19,1,20,72,2,7,2,122,Abnormal
540,15,1,16,72,3,4,1,122,Abnormal
610,15,1,16,72,3,4,1,122,Abnormal
535,10,1,15,73,0,0,0,122,Abnormal
596,80,1,47,63,31,63,7,122,Abnormal
667,80,1,47,63,31,63,7,122,Abnormal
560,44,1,15,63,32,32,2,122,Abnormal
631,44,1,15,63,32,32,2,122,Abnormal
570,55,3,20,62,32,37,8,122,Abnormal
641,55,3,20,62,32,37,8,122,Abnormal
568,53,3,19,62,32,36,7,122,Abnormal
639,53,3,19,62,32,36,7,122,Abnormal
795,277,13,65,65,174,224,43,122,Abnormal
867,277,13,65,65,174,224,43,122,Abnormal
769,251,13,55,65,165,205,36,122,Abnormal
841,251,13,55,65,165,205,36,122,Abnormal
774,256,13,54,65,171,210,36,122,Abnormal
846,256,13,54,65,171,210,36,122,Abnormal
517,10,1,15,55,0,0,0,122,Abnormal
628,112,1,43,63,60,88,14,122,Abnormal
700,112,1,43,63,60,88,14,122,Abnormal
544,28,1,16,63,15,16,2,122,Abnormal
615,28,1,16,63,15,16,2,122,Abnormal
502,10,1,15,40,0,0,0,122,Abnormal
545,10,1,15,83,0,0,0,122,Abnormal
520,10,1,15,58,0,0,0,122,Abnormal
529,10,1,15,67,0,0,0,122,Abnormal
563,10,1,15,101,0,0,0,122,Abnormal
549,10,1,15,87,0,0,0,122,Abnormal
783,266,13,59,64,177,221,35,122,Abnormal
855,266,13,59,64,177,221,35,122,Abnormal
785,268,13,60,64,178,223,35,122,Abnormal
857,268,13,60,64,178,223,35,122,Abnormal
520,10,1,15,58,0,0,0,122,Abnormal
532,10,1,15,70,0,0,0,122,Abnormal
548,10,1,15,86,0,0,0,122,Abnormal
539,10,1,15,77,0,0,0,122,Abnormal
525,10,1,15,63,0,0,0,122,Abnormal
531,10,1,15,69,0,0,0,122,Abnormal
601,85,5,24,63,52,61,14,122,Abnormal
672,85,5,24,63,52,61,14,122,Abnormal
599,83,5,23,63,52,60,13,122,Abnormal
670,83,5,23,63,52,60,13,122,Abnormal
662,142,5,28,67,92,105,27,122,Abnormal
734,142,5,28,67,92,105,27,122,Abnormal
592,72,5,19,67,47,51,11,122,Abnormal
663,72,5,19,67,47,51,11,122,Abnormal
589,69,5,20,67,44,49,10,122,Abnormal
660,69,5,20,67,44,49,10,122,Abnormal
540,15,1,16,72,3,4,1,122,Abnormal
610,15,1,16,72,3,4,1,122,Abnormal
526,10,1,15,64,0,0,0,122,Abnormal
540,24,1,19,63,8,12,2,122,Abnormal
611,24,1,19,63,8,12,2,122,Abnormal
560,44,1,15,63,32,32,2,122,Abnormal
631,44,1,15,63,32,32,2,122,Abnormal
529,10,1,15,67,0,0,0,122,Abnormal
546,10,1,15,84,0,0,0,126,Abnormal
570,55,3,20,62,32,37,8,122,Abnormal
641,55,3,20,62,32,37,8,122,Abnormal
568,53,3,19,62,32,36,7,122,Abnormal
639,53,3,19,62,32,36,7,122,Abnormal
1381,10,1,15,94,0,0,0,122,Abnormal
769,251,13,57,65,165,207,34,122,Abnormal
841,251,13,57,65,165,207,34,122,Abnormal
527,10,1,15,65,0,0,0,126,Abnormal
590,74,1,48,63,24,57,7,122,Abnormal
661,74,1,48,63,24,57,7,122,Abnormal
544,28,1,16,63,15,16,2,122,Abnormal
615,28,1,16,63,15,16,2,122,Abnormal
529,10,1,15,67,0,0,0,122,Abnormal
517,10,1,15,55,0,0,0,122,Abnormal
549,10,1,15,87,0,0,0,122,Abnormal
771,254,13,55,64,167,207,37,122,Abnormal
843,254,13,55,64,167,207,37,122,Abnormal
764,247,13,50,64,168,203,34,122,Abnormal
836,247,13,50,64,168,203,34,122,Abnormal
502,10,1,15,40,0,0,0,122,Abnormal
606,90,5,34,63,42,61,19,122,Abnormal
677,90,5,34,63,42,61,19,122,Abnormal
599,83,5,24,63,48,57,16,122,Abnormal
670,83,5,24,63,48,57,16,122,Abnormal
602,86,5,25,63,51,61,15,122,Abnormal
673,86,5,25,63,51,61,15,122,Abnormal
593,73,5,20,67,48,53,10,122,Abnormal
664,73,5,20,67,48,53,10,122,Abnormal
591,71,5,19,67,48,52,9,122,Abnormal
662,71,5,19,67,48,52,9,122,Abnormal
613,88,1,50,72,21,56,22,122,Abnormal
684,88,1,50,72,21,56,22,122,Abnormal
540,15,1,16,72,3,4,1,122,Abnormal
610,15,1,16,72,3,4,1,122,Abnormal
520,10,1,15,58,0,0,0,122,Abnormal
1149,10,1,15,69,0,0,0,122,Abnormal
560,44,1,15,63,32,32,2,122,Abnormal
631,44,1,15,63,32,32,2,122,Abnormal
569,54,3,19,62,32,36,8,122,Abnormal
640,54,3,19,62,32,36,8,122,Abnormal
562,47,3,18,62,29,32,5,122,Abnormal
633,47,3,18,62,29,32,5,122,Abnormal
790,272,13,61,65,175,221,41,122,Abnormal
862,272,13,61,65,175,221,41,122,Abnormal
755,237,13,35,65,172,192,35,122,Abnormal
827,237,13,35,65,172,192,35,122,Abnormal
770,252,13,51,65,171,207,35,122,Abnormal
842,252,13,51,65,171,207,35,122,Abnormal
769,251,13,50,65,172,207,34,122,Abnormal
841,251,13,50,65,172,207,34,122,Abnormal
528,10,1,15,66,0,0,0,122,Abnormal
609,93,1,31,63,44,60,23,122,Abnormal
680,93,1,31,63,44,60,23,122,Abnormal
534,18,1,19,63,2,6,2,122,Abnormal
604,18,1,19,63,2,6,2,122,Abnormal
544,28,1,16,63,15,16,2,122,Abnormal
615,28,1,16,63,15,16,2,122,Abnormal
503,10,1,15,41,0,0,0,122,Abnormal
529,10,1,15,67,0,0,0,122,Abnormal
539,10,1,15,77,0,0,0,122,Abnormal
516,10,1,15,54,0,0,0,122,Abnormal
552,10,1,15,90,0,0,0,122,Abnormal
780,263,13,57,64,175,217,36,122,Abnormal
852,263,13,57,64,175,217,36,122,Abnormal
777,260,13,54,64,177,216,34,122,Abnormal
849,260,13,54,64,177,216,34,122,Abnormal
512,10,1,15,50,0,0,0,122,Abnormal
651,135,5,44,63,68,97,28,122,Abnormal
723,135,5,44,63,68,97,28,122,Abnormal
598,82,5,23,63,48,56,16,122,Abnormal
669,82,5,23,63,48,56,16,122,Abnormal
598,82,5,22,63,52,59,13,122,Abnormal
669,82,5,22,63,52,59,13,122,Abnormal
516,10,1,15,54,0,0,0,122,Abnormal
599,79,5,20,67,52,57,12,122,Abnormal
670,79,5,20,67,52,57,12,122,Abnormal
592,72,5,17,67,51,53,9,122,Abnormal
663,72,5,17,67,51,53,9,122,Abnormal
552,10,1,15,90,0,0,0,122,Abnormal
595,70,1,45,72,24,54,6,122,Abnormal
666,70,1,45,72,24,54,6,122,Abnormal
602,77,1,26,72,45,56,11,122,Abnormal
673,77,1,26,72,45,56,11,122,Abnormal
540,15,1,16,72,3,4,1,122,Abnormal
610,15,1,16,72,3,4,1,122,Abnormal
530,10,1,15,68,0,0,0,122,Abnormal
560,44,1,15,63,32,32,2,122,Abnormal
631,44,1,15,63,32,32,2,122,Abnormal
523,10,1,15,61,0,0,0,122,Abnormal
579,64,3,27,62,33,45,9,122,Abnormal
650,64,3,27,62,33,45,9,122,Abnormal
581,66,3,27,62,32,44,12,122,Abnormal
652,66,3,27,62,32,44,12,122,Abnormal
566,51,3,21,62,29,35,6,122,Abnormal
637,51,3,21,62,29,35,6,122,Abnormal
564,49,3,20,62,29,34,5,122,Abnormal
635,49,3,20,62,29,34,5,122,Abnormal
502,10,1,15,40,0,0,0,122,Abnormal
863,345,13,93,65,213,291,44,122,Abnormal
935,345,13,93,65,213,291,44,122,Abnormal
792,274,13,56,65,186,227,37,122,Abnormal
864,274,13,56,65,186,227,37,122,Abnormal
788,270,13,52,65,188,225,35,122,Abnormal
860,270,13,52,65,188,225,35,122,Abnormal
541,10,1,15,79,0,0,0,122,Abnormal
564,48,1,18,63,29,32,6,122,Abnormal
635,48,1,18,63,29,32,6,122,Abnormal
532,16,1,17,63,2,4,2,122,Abnormal
602,16,1,17,63,2,4,2,122,Abnormal
544,28,1,16,63,15,16,2,122,Abnormal
615,28,1,16,63,15,16,2,122,Abnormal
529,10,1,15,67,0,0,0,122,Abnormal
542,10,1,15,80,0,0,0,122,Abnormal
524,10,1,15,62,0,0,0,122,Abnormal
508,10,1,15,46,0,0,0,122,Abnormal
836,319,13,88,64,195,268,41,122,Abnormal
908,319,13,88,64,195,268,41,122,Abnormal
822,305,13,62,64,198,245,50,122,Abnormal
894,305,13,62,64,198,245,50,122,Abnormal
787,270,13,62,64,174,221,39,122,Abnormal
859,270,13,62,64,174,221,39,122,Abnormal
776,259,13,56,64,173,214,35,122,Abnormal
848,259,13,56,64,173,214,35,122,Abnormal
527,10,1,15,65,0,0,0,122,Abnormal
530,10,1,15,68,0,0,0,122,Abnormal
541,10,1,15,79,0,0,0,122,Abnormal
555,10,1,15,93,0,0,0,122,Abnormal
512,10,1,15,50,0,0,0,122,Abnormal
603,87,5,25,63,51,61,16,122,Abnormal
674,87,5,25,63,51,61,16,122,Abnormal
651,135,5,37,63,78,100,25,122,Abnormal
723,135,5,37,63,78,100,25,122,Abnormal
553,10,1,15,91,0,0,0,122,Abnormal
594,74,5,17,67,52,54,10,122,Abnormal
665,74,5,17,67,52,54,10,122,Abnormal
518,10,1,15,56,0,0,0,122,Abnormal
582,57,1,31,72,18,34,13,122,Abnormal
653,57,1,31,72,18,34,13,122,Abnormal
540,15,1,16,72,3,4,1,122,Abnormal
610,15,1,16,72,3,4,1,122,Abnormal
533,10,1,15,71,0,0,0,122,Abnormal
560,44,1,15,63,32,32,2,122,Abnormal
631,44,1,15,63,32,32,2,122,Abnormal
625,110,3,51,62,52,88,12,122,Abnormal
697,110,3,51,62,52,88,12,122,Abnormal
566,51,3,21,62,29,35,6,122,Abnormal
637,51,3,21,62,29,35,6,122,Abnormal
564,49,3,20,62,29,34,5,122,Abnormal
635,49,3,20,62,29,34,5,122,Abnormal
789,271,13,64,65,170,219,42,122,Abnormal
861,271,13,64,65,170,219,42,122,Abnormal
777,259,13,53,65,176,214,35,122,Abnormal
849,259,13,53,65,176,214,35,122,Abnormal
777,259,13,53,65,176,214,35,122,Abnormal
1451,27,1,16,65,14,15,2,122,Abnormal
551,35,1,27,63,5,17,8,122,Abnormal
622,35,1,27,63,5,17,8,122,Abnormal
544,28,1,16,63,15,16,2,122,Abnormal
615,28,1,16,63,15,16,2,122,Abnormal
529,10,1,15,67,0,0,0,122,Abnormal
516,10,1,15,54,0,0,0,122,Abnormal
529,10,1,15,67,0,0,0,122,Abnormal
1360,10,1,15,62,0,0,0,122,Abnormal
833,316,13,59,64,205,249,57,122,Abnormal
905,316,13,59,64,205,249,57,122,Abnormal
776,259,13,51,64,177,213,36,122,Abnormal
848,259,13,51,64,177,213,36,122,Abnormal
777,260,13,52,64,177,214,36,122,Abnormal
849,260,13,52,64,177,214,36,122,Abnormal
535,10,1,15,73,0,0,0,126,Abnormal
524,10,1,15,62,0,0,0,122,Abnormal
534,10,1,15,72,0,0,0,122,Abnormal
676,160,5,47,63,93,125,25,122,Abnormal
748,160,5,47,63,93,125,25,122,Abnormal
597,81,5,24,63,48,57,14,122,Abnormal
668,81,5,24,63,48,57,14,122,Abnormal
510,10,1,15,48,0,0,0,122,Abnormal
592,72,5,22,67,45,52,10,122,Abnormal
663,72,5,22,67,45,52,10,122,Abnormal
590,70,5,21,67,45,51,9,122,Abnormal
661,70,5,21,67,45,51,9,122,Abnormal
556,31,1,18,72,15,18,3,122,Abnormal
627,31,1,18,72,15,18,3,122,Abnormal
540,15,1,16,72,3,4,1,122,Abnormal
610,15,1,16,72,3,4,1,122,Abnormal
539,10,1,15,77,0,0,0,122,Abnormal
540,10,1,15,78,0,0,0,122,Abnormal
576,60,1,17,63,44,46,4,122,Abnormal
647,60,1,17,63,44,46,4,122,Abnormal
599,83,1,43,63,26,54,19,122,Abnormal
670,83,1,43,63,26,54,19,122,Abnormal
560,44,1,15,63,32,32,2,122,Abnormal
631,44,1,15,63,32,32,2,122,Abnormal
576,61,3,31,62,23,39,12,122,Abnormal
647,61,3,31,62,23,39,12,122,Abnormal
566,51,3,21,62,29,35,6,122,Abnormal
637,51,3,21,62,29,35,6,122,Abnormal
564,49,3,20,62,29,34,5,122,Abnormal
635,49,3,20,62,29,34,5,122,Abnormal
807,289,13,64,65,190,239,40,122,Abnormal
879,289,13,64,65,190,239,40,122,Abnormal
847,329,13,72,65,209,266,53,122,Abnormal
919,329,13,72,65,209,266,53,122,Abnormal
806,288,13,58,65,195,238,40,122,Abnormal
878,288,13,58,65,195,238,40,122,Abnormal
803,285,13,61,65,190,236,39,122,Abnormal
875,285,13,61,65,190,236,39,122,Abnormal
546,30,1,17,63,15,17,3,122,Abnormal
617,30,1,17,63,15,17,3,122,Abnormal
544,28,1,16,63,15,16,2,122,Abnormal
615,28,1,16,63,15,16,2,122,Abnormal
544,10,1,15,82,0,0,0,122,Abnormal
551,10,1,15,89,0,0,0,122,Abnormal
554,10,1,15,92,0,0,0,122,Abnormal
521,10,1,15,59,0,0,0,122,Abnormal
826,309,13,61,64,204,250,49,122,Abnormal
898,309,13,61,64,204,250,49,122,Abnormal
805,288,13,64,64,183,232,46,122,Abnormal
877,288,13,64,64,183,232,46,122,Abnormal
787,270,13,52,64,185,222,38,122,Abnormal
859,270,13,52,64,185,222,38,122,Abnormal
774,257,13,50,64,177,212,35,122,Abnormal
846,257,13,50,64,177,212,35,122,Abnormal
539,10,1,15,77,0,0,0,122,Abnormal
598,82,5,22,63,52,59,13,122,Abnormal
669,82,5,22,63,52,59,13,122,Abnormal
680,160,5,51,67,92,128,22,122,Abnormal
752,160,5,51,67,92,128,22,122,Abnormal
662,142,5,43,67,85,113,19,122,Abnormal
734,142,5,43,67,85,113,19,122,Abnormal
597,77,5,25,67,46,56,11,122,Abnormal
668,77,5,25,67,46,56,11,122,Abnormal
596,76,5,24,67,47,56,10,122,Abnormal
667,76,5,24,67,47,56,10,122,Abnormal
1130,10,1,15,71,0,0,0,122,Abnormal
540,15,1,16,72,3,4,1,122,Abnormal
1228,43,1,15,72,31,31,2,122,Abnormal
564,48,1,18,63,32,35,3,122,Abnormal
635,48,1,18,63,32,35,3,122,Abnormal
552,10,1,15,90,0,0,0,122,Abnormal
571,56,3,21,62,32,38,8,122,Abnormal
642,56,3,21,62,32,38,8,122,Abnormal
569,54,3,20,62,32,37,7,122,Abnormal
640,54,3,20,62,32,37,7,122,Abnormal
764,246,13,57,65,158,200,36,122,Abnormal
836,246,13,57,65,158,200,36,122,Abnormal
758,240,13,52,65,158,195,35,122,Abnormal
830,240,13,52,65,158,195,35,122,Abnormal
760,242,13,53,65,159,197,35,122,Abnormal
832,242,13,53,65,159,197,35,122,Abnormal
531,10,1,15,69,0,0,0,122,Abnormal
617,101,1,24,63,63,72,19,122,Abnormal
688,101,1,24,63,63,72,19,122,Abnormal
582,66,1,27,63,29,41,15,122,Abnormal
653,66,1,27,63,29,41,15,122,Abnormal
544,28,1,16,63,15,16,2,122,Abnormal
615,28,1,16,63,15,16,2,122,Abnormal
531,10,1,15,69,0,0,0,122,Abnormal
528,10,1,15,66,0,0,0,122,Abnormal
522,10,1,15,60,0,0,0,122,Abnormal
517,10,1,15,55,0,0,0,122,Abnormal
549,10,1,15,87,0,0,0,122,Abnormal
514,10,1,15,52,0,0,0,122,Abnormal
536,10,1,15,74,0,0,0,122,Abnormal
790,273,13,63,64,178,226,37,122,Abnormal
862,273,13,63,64,178,226,37,122,Abnormal
786,269,13,59,64,180,224,35,122,Abnormal
858,269,13,59,64,180,224,35,122,Abnormal
535,10,1,15,73,0,0,0,122,Abnormal
522,10,1,15,60,0,0,0,122,Abnormal
598,82,5,23,63,48,56,16,122,Abnormal
669,82,5,23,63,48,56,16,122,Abnormal
594,78,5,22,63,48,55,13,122,Abnormal
665,78,5,22,63,48,55,13,122,Abnormal
597,77,5,24,67,47,56,11,122,Abnormal
668,77,5,24,67,47,56,11,122,Abnormal
603,83,5,19,67,57,61,12,122,Abnormal
674,83,5,19,67,57,61,12,122,Abnormal
597,77,5,21,67,51,57,10,122,Abnormal
668,77,5,21,67,51,57,10,122,Abnormal
583,58,1,32,72,18,35,13,122,Abnormal
654,58,1,32,72,18,35,13,122,Abnormal
540,15,1,16,72,3,4,1,122,Abnormal
610,15,1,16,72,3,4,1,122,Abnormal
556,40,1,17,63,23,25,5,122,Abnormal
627,40,1,17,63,23,25,5,122,Abnormal
560,44,1,15,63,32,32,2,122,Abnormal
631,44,1,15,63,32,32,2,122,Abnormal
571,56,3,21,62,32,38,8,122,Abnormal
642,56,3,21,62,32,38,8,122,Abnormal
569,54,3,20,62,32,37,7,122,Abnormal
640,54,3,20,62,32,37,7,122,Abnormal
529,10,1,15,67,0,0,0,122,Abnormal
552,10,1,15,90,0,0,0,122,Abnormal
799,281,13,70,65,173,228,43,122,Abnormal
871,281,13,70,65,173,228,43,122,Abnormal
777,259,13,58,65,170,213,36,122,Abnormal
849,259,13,58,65,170,213,36,122,Abnormal
778,260,13,59,65,170,214,36,122,Abnormal
850,260,13,59,65,170,214,36,122,Abnormal
541,10,1,15,79,0,0,0,122,Abnormal
503,10,1,15,41,0,0,0,122,Abnormal
525,10,1,15,63,0,0,0,122,Abnormal
549,10,1,15,87,0,0,0,122,Abnormal
520,10,1,15,58,0,0,0,122,Abnormal
821,304,13,49,64,216,250,44,122,Abnormal
893,304,13,49,64,216,250,44,122,Abnormal
782,265,13,59,64,175,219,36,122,Abnormal
854,265,13,59,64,175,219,36,122,Abnormal
774,257,13,54,64,174,213,34,122,Abnormal
846,257,13,54,64,174,213,34,122,Abnormal
529,10,1,15,67,0,0,0,122,Abnormal
534,10,1,15,72,0,0,0,122,Abnormal
538,10,1,15,76,0,0,0,122,Abnormal
525,10,1,15,63,0,0,0,122,Abnormal
525,10,1,15,63,0,0,0,122,Abnormal
529,10,1,15,67,0,0,0,122,Abnormal
502,10,1,15,40,0,0,0,122,Abnormal
543,10,1,15,81,0,0,0,122,Abnormal
601,85,5,24,63,50,59,16,122,Abnormal
672,85,5,24,63,50,59,16,122,Abnormal
603,87,5,25,63,51,61,16,122,Abnormal
674,87,5,25,63,51,61,16,122,Abnormal
601,85,5,24,63,51,60,15,122,Abnormal
672,85,5,24,63,51,60,15,122,Abnormal
599,79,5,20,67,52,57,12,122,Abnormal
670,79,5,20,67,52,57,12,122,Abnormal
589,69,5,20,67,43,48,11,122,Abnormal
660,69,5,20,67,43,48,11,122,Abnormal
594,74,5,19,67,49,53,11,122,Abnormal
665,74,5,19,67,49,53,11,122,Abnormal
591,71,5,17,67,49,51,10,122,Abnormal
662,71,5,17,67,49,51,10,122,Abnormal
530,10,1,15,68,0,0,0,122,Abnormal
544,19,1,19,72,3,7,2,122,Abnormal
614,19,1,19,72,3,7,2,122,Abnormal
540,15,1,16,72,3,4,1,122,Abnormal
1228,43,1,15,72,31,31,2,122,Abnormal
560,44,1,15,63,32,32,2,122,Abnormal
631,44,1,15,63,32,32,2,122,Abnormal
585,70,3,31,62,32,48,12,122,Abnormal
656,70,3,31,62,32,48,12,122,Abnormal
566,51,3,21,62,29,35,6,122,Abnormal
637,51,3,21,62,29,35,6,122,Abnormal
564,49,3,20,62,29,34,5,122,Abnormal
635,49,3,20,62,29,34,5,122,Abnormal
510,10,1,15,48,0,0,0,122,Abnormal
800,282,13,55,65,193,233,39,122,Abnormal
872,282,13,55,65,193,233,39,122,Abnormal
780,262,13,54,65,179,218,34,122,Abnormal
852,262,13,54,65,179,218,34,122,Abnormal
548,32,1,19,63,15,19,3,122,Abnormal
619,32,1,19,63,15,19,3,122,Abnormal
534,18,1,20,63,1,6,2,122,Abnormal
604,18,1,20,63,1,6,2,122,Abnormal
544,28,1,16,63,15,16,2,122,Abnormal
615,28,1,16,63,15,16,2,122,Abnormal
537,10,1,15,75,0,0,0,122,Abnormal
513,10,1,15,51,0,0,0,122,Abnormal
502,10,1,15,40,0,0,0,122,Abnormal
862,345,13,64,64,232,281,54,122,Abnormal
934,345,13,64,64,232,281,54,122,Abnormal
787,270,13,56,64,182,223,37,122,Abnormal
859,270,13,56,64,182,223,37,122,Abnormal
789,272,13,56,64,184,225,37,122,Abnormal
861,272,13,56,64,184,225,37,122,Abnormal
529,10,1,15,67,0,0,0,122,Abnormal
525,10,1,15,63,0,0,0,122,Abnormal
598,82,5,23,63,48,56,16,122,Abnormal
669,82,5,23,63,48,56,16,122,Abnormal
601,85,5,24,63,51,60,15,122,Abnormal
672,85,5,24,63,51,60,15,122,Abnormal
528,10,1,15,66,0,0,0,122,Abnormal
592,72,5,18,67,49,52,10,122,Abnormal
663,72,5,18,67,49,52,10,122,Abnormal
590,70,5,16,67,50,51,9,122,Abnormal
661,70,5,16,67,50,51,9,122,Abnormal
526,10,1,15,64,0,0,0,122,Abnormal
540,15,1,16,72,2,3,2,122,Abnormal
610,15,1,16,72,2,3,2,122,Abnormal
540,15,1,16,72,3,4,1,122,Abnormal
610,15,1,16,72,3,4,1,122,Abnormal
613,97,1,37,63,48,70,17,122,Abnormal
684,97,1,37,63,48,70,17,122,Abnormal
588,72,1,26,63,36,47,15,122,Abnormal
659,72,1,26,63,36,47,15,122,Abnormal
560,44,1,15,63,32,32,2,122,Abnormal
631,44,1,15,63,32,32,2,122,Abnormal
527,10,1,15,65,0,0,0,122,Abnormal
599,84,3,36,62,36,57,17,122,Abnormal
670,84,3,36,62,36,57,17,122,Abnormal
566,51,3,21,62,29,35,6,122,Abnormal
637,51,3,21,62,29,35,6,122,Abnormal
564,49,3,20,62,29,34,5,122,Abnormal
635,49,3,20,62,29,34,5,122,Abnormal
805,287,13,53,65,196,234,43,122,Abnormal
877,287,13,53,65,196,234,43,122,Abnormal
818,300,13,55,65,207,247,43,122,Abnormal
890,300,13,55,65,207,247,43,122,Abnormal
819,301,13,55,65,208,248,43,122,Abnormal
891,301,13,55,65,208,248,43,122,Abnormal
508,10,1,15,46,0,0,0,122,Abnormal
